Indices with the equal value of the average in the column
Column 1 | average = 0.492583: 
Column 7617 | average = 0.492306: 
Column 7618 | average = 0.489491: 
Column 7619 | average = 0.490326: 223, 365, 646, 656, 693, 791, 962, 1111, 1137, 1290, 1599, 1760, 1941, 1957, 2032, 2160, 2215, 2493, 2510, 2790, 2826, 2844, 2909, 2965, 3297, 3349, 3352, 3407, 3584, 3704, 3867, 3937, 4004, 4020, 4103, 4395, 4516, 4524, 4550, 4553, 4610, 4964, 5023, 5056, 5287, 5311, 5321, 5341, 5376, 5417, 5463, 5512, 5581, 5675, 5703, 5713, 6187, 6234, 6253, 6257, 6331, 6391, 6547, 6585, 6650, 6688, 6717, 6753, 6778, 6808, 6918, 7044, 7142, 7454, 7499, 7611, 7627, 7746, 7978, 8127, 8168, 8201, 8617, 8644, 8672, 8706, 8728, 8936, 9000, 9339, 9408, 9441, 9532, 9562, 9564, 9603, 9744, 9786, 9856, 9867, 
Column 7620 | average = 0.490987: 155, 208, 267, 301, 338, 632, 638, 687, 795, 1192, 1233, 1308, 1333, 1354, 1385, 1496, 1739, 1948, 2261, 2293, 2432, 2464, 2996, 3147, 3230, 3379, 3549, 3594, 3625, 3628, 3843, 4081, 4082, 4156, 4303, 4431, 4602, 4681, 4758, 4802, 4862, 4923, 5225, 5298, 5527, 5678, 5786, 5837, 5882, 5979, 6138, 6279, 6446, 6494, 6647, 6733, 6747, 6927, 7046, 7157, 7366, 7409, 7425, 7816, 7959, 8004, 8033, 8054, 8235, 8350, 8554, 8768, 8797, 8899, 8900, 9103, 9150, 9361, 9471, 9592, 9760, 9890, 
Column 7621 | average = 0.492644: 
Column 7622 | average = 0.492972: 
Column 7623 | average = 0.495172: 
Column 7624 | average = 0.489727: 
Column 7625 | average = 0.496354: 
Column 7626 | average = 0.491750: 
Column 7627 | average = 0.496259: 
Column 7628 | average = 0.493856: 
Column 7629 | average = 0.491405: 
Column 7630 | average = 0.495658: 
Column 7631 | average = 0.497458: 
Column 7632 | average = 0.498740: 
Column 7633 | average = 0.494815: 
Column 7634 | average = 0.494709: 
Column 7635 | average = 0.493438: 
Column 7636 | average = 0.494586: 
Column 7637 | average = 0.489083: 
Column 7638 | average = 0.493303: 
Column 7639 | average = 0.496117: 
Column 7640 | average = 0.495829: 
Column 7641 | average = 0.494418: 
Column 7642 | average = 0.490701: 50, 201, 215, 290, 336, 364, 629, 698, 743, 889, 958, 1002, 1176, 1262, 1436, 1484, 1611, 1679, 1756, 1782, 2056, 2410, 2437, 2538, 2776, 2794, 2796, 2923, 3061, 3230, 3506, 3554, 3579, 3673, 3677, 3752, 3767, 3821, 3823, 3837, 4021, 4260, 4370, 4393, 4473, 4566, 4591, 4598, 4617, 4681, 4737, 4962, 5117, 5184, 5195, 5514, 5625, 5672, 5716, 5752, 6074, 6097, 6170, 6186, 6378, 6645, 6860, 6939, 7058, 7304, 7403, 7590, 7769, 7796, 7890, 8029, 8096, 8137, 8255, 8679, 8768, 8787, 8791, 8869, 8971, 9217, 9281, 9393, 9485, 9625, 9870, 9917, 
Column 7643 | average = 0.493550: 
Column 7644 | average = 0.489806: 
Column 7645 | average = 0.496006: 
Column 7646 | average = 0.495176: 
Column 7647 | average = 0.490102: 197, 279, 322, 453, 606, 712, 747, 812, 929, 974, 1019, 1254, 1306, 1526, 1549, 1694, 1804, 1865, 1901, 2050, 2091, 2103, 2115, 2189, 2213, 2269, 2326, 2360, 2364, 2526, 2596, 2615, 2638, 2837, 3342, 3388, 3592, 3615, 3642, 3699, 3718, 3750, 3783, 3863, 4097, 4193, 4397, 4447, 4572, 4652, 4655, 4941, 5023, 5033, 5073, 5082, 5096, 5097, 5143, 5212, 5262, 5327, 5395, 5628, 5666, 5700, 5722, 5735, 5876, 6059, 6216, 6303, 6608, 6637, 6747, 6761, 6777, 6780, 6948, 6964, 7136, 7367, 7464, 7645, 7940, 8091, 8217, 8289, 8423, 8599, 8600, 8727, 8746, 8897, 9009, 9169, 9216, 9414, 9418, 9419, 9488, 9509, 9552, 9560, 9598, 9658, 9771, 9890, 9898, 
Column 7648 | average = 0.496010: 
Column 7649 | average = 0.494366: 
Column 7650 | average = 0.493083: 
Column 7651 | average = 0.493498: 
Column 7652 | average = 0.494967: 
Column 7653 | average = 0.494276: 
Column 7654 | average = 0.495568: 
Column 7655 | average = 0.498600: 
Column 7656 | average = 0.498675: 
Column 7657 | average = 0.497533: 
Column 7658 | average = 0.495056: 
Column 7659 | average = 0.501022: 
Column 7660 | average = 0.495238: 
Column 7661 | average = 0.497460: 
Column 7662 | average = 0.498749: 
Column 7663 | average = 0.494184: 
Column 7664 | average = 0.499334: 
Column 7665 | average = 0.494404: 
Column 7666 | average = 0.496418: 
Column 7667 | average = 0.495174: 
Column 7668 | average = 0.496763: 
Column 7669 | average = 0.494969: 
Column 7670 | average = 0.499211: 
Column 7671 | average = 0.490767: 153, 211, 280, 364, 445, 536, 656, 697, 699, 700, 774, 896, 977, 1034, 1116, 1180, 1201, 1215, 1453, 1473, 1525, 1534, 1561, 1669, 1712, 1998, 2124, 2136, 2152, 2243, 2400, 2450, 2536, 2543, 2565, 2583, 2692, 2942, 2944, 2960, 3110, 3197, 3325, 3332, 3352, 3393, 3591, 3660, 3869, 4026, 4196, 4253, 4261, 4263, 4359, 4454, 4478, 4603, 4621, 4627, 4857, 4915, 4970, 4974, 5022, 5213, 5362, 5372, 5414, 5430, 5500, 5955, 6036, 6075, 6099, 6157, 6172, 6211, 6298, 6426, 6674, 6896, 6909, 6956, 7109, 7184, 7215, 7245, 7256, 7468, 7594, 7608, 7628, 7776, 8105, 8223, 8238, 8244, 8259, 8276, 8301, 8475, 8629, 8664, 8798, 8806, 8875, 8951, 8983, 9176, 9330, 9434, 9514, 9556, 9558, 
Column 7672 | average = 0.490785: 138, 268, 416, 431, 444, 648, 693, 851, 956, 1050, 1324, 1413, 1437, 1477, 1496, 1575, 1656, 1824, 1879, 1977, 2118, 2213, 2307, 2377, 2509, 2565, 2575, 2576, 2920, 2942, 3027, 3071, 3178, 3206, 3242, 3281, 3359, 3478, 3484, 3623, 3679, 3693, 3704, 3826, 3877, 3903, 3940, 4170, 4180, 4240, 4274, 4428, 4448, 4484, 4494, 4615, 4746, 4915, 4922, 5289, 5564, 5716, 5722, 5981, 6251, 6316, 6422, 6702, 6900, 6924, 7122, 7166, 7270, 7279, 7645, 7674, 7844, 7944, 8003, 8031, 8219, 8310, 8335, 8395, 8472, 8484, 8504, 8544, 8549, 8584, 8627, 8671, 8848, 9016, 9023, 9133, 9145, 9193, 9328, 9338, 9396, 9419, 9441, 9748, 9778, 9806, 9911, 
Column 7673 | average = 0.489541: 
Column 7674 | average = 0.493681: 
Column 7675 | average = 0.500763: 85, 144, 253, 330, 406, 552, 603, 833, 878, 980, 997, 1061, 1403, 1449, 1557, 1707, 1712, 1862, 1895, 1916, 2077, 2222, 2334, 2357, 2403, 2422, 2442, 2544, 2647, 2776, 2886, 3017, 3046, 3073, 3095, 3108, 3217, 3223, 3287, 3324, 3443, 3538, 3661, 3959, 4058, 4182, 4254, 4436, 4652, 4671, 4688, 4768, 4801, 4814, 4822, 5219, 5225, 5296, 5356, 5542, 5652, 5682, 6218, 6287, 6339, 6730, 6789, 6922, 6970, 7029, 7040, 7111, 7194, 7208, 7234, 7236, 7334, 7630, 7797, 7808, 7848, 7890, 7894, 8122, 8236, 8296, 8324, 8468, 8643, 8667, 8777, 8832, 8846, 8909, 9243, 9302, 9305, 9315, 9605, 9670, 
Column 7676 | average = 0.491917: 
Column 7677 | average = 0.495260: 
Column 7678 | average = 0.499722: 
Column 7679 | average = 0.496797: 
Column 7680 | average = 0.492171: 
Column 7681 | average = 0.493168: 
Column 7682 | average = 0.494929: 
Column 7683 | average = 0.492185: 
Column 7684 | average = 0.498280: 
Column 7685 | average = 0.497583: 
Column 7686 | average = 0.492317: 
Column 7687 | average = 0.495331: 
Column 7688 | average = 0.498318: 
Column 7689 | average = 0.497487: 
Column 7690 | average = 0.494625: 
Column 7691 | average = 0.500674: 133, 139, 201, 235, 256, 345, 423, 457, 623, 903, 1232, 1419, 1993, 2021, 2198, 2297, 2338, 2486, 2674, 2698, 2858, 3189, 3258, 3292, 3312, 3339, 3356, 3360, 3384, 3433, 3567, 3579, 3637, 3647, 3684, 3779, 3895, 4026, 4049, 4233, 4253, 4545, 4586, 4636, 4692, 4769, 4773, 4814, 4822, 4880, 4886, 4894, 4960, 5177, 5514, 5559, 5569, 5581, 5681, 5764, 5799, 5883, 5907, 6190, 6214, 6505, 6515, 6706, 6851, 6902, 7272, 7434, 7473, 7640, 7789, 7848, 7852, 7855, 7859, 8190, 8248, 8287, 8318, 8385, 8387, 8612, 8727, 8927, 8994, 9022, 9081, 9098, 9180, 9241, 9354, 9355, 9361, 9400, 9668, 9734, 9778, 9848, 9870, 9877, 
Column 7692 | average = 0.486889: 
Column 7693 | average = 0.488457: 
Column 7694 | average = 0.494942: 
Column 7695 | average = 0.496254: 
Column 7696 | average = 0.497321: 
Column 7697 | average = 0.496016: 
Column 7698 | average = 0.495525: 
Column 7699 | average = 0.492542: 
Column 7700 | average = 0.494593: 
Column 7701 | average = 0.494081: 
Column 7702 | average = 0.496828: 
Column 7703 | average = 0.494982: 
Column 7704 | average = 0.498231: 
Column 7705 | average = 0.494819: 
Column 7706 | average = 0.494630: 
Column 7707 | average = 0.493795: 
Column 7708 | average = 0.495280: 
Column 7709 | average = 0.496036: 
Column 7710 | average = 0.498098: 
Column 7711 | average = 0.490501: 88, 197, 244, 265, 297, 299, 361, 364, 479, 500, 519, 530, 574, 677, 1047, 1157, 1250, 1419, 1540, 1688, 1776, 2081, 2129, 2149, 2159, 2193, 2209, 2251, 2285, 2320, 2329, 2364, 2406, 2465, 2527, 2562, 2614, 2637, 2656, 2909, 2958, 2999, 3101, 3144, 3191, 3198, 3264, 3308, 3325, 3406, 3464, 3554, 3679, 3723, 3773, 3951, 3966, 3979, 4068, 4070, 4322, 4360, 4431, 4433, 4493, 4608, 4988, 4990, 5220, 5238, 5361, 5431, 5610, 5700, 5812, 5967, 6096, 6313, 6386, 6516, 6522, 6691, 6959, 7012, 7327, 7328, 7403, 7535, 7583, 7594, 7675, 7693, 7745, 7787, 7788, 7982, 8004, 8270, 8514, 8566, 8788, 8804, 8885, 8930, 9083, 9223, 9352, 9456, 9554, 9673, 9810, 9835, 9865, 9902, 
Column 7712 | average = 0.496860: 
Column 7713 | average = 0.492357: 
Column 7714 | average = 0.499179: 
Column 7715 | average = 0.495710: 
Column 7716 | average = 0.491065: 
Column 7717 | average = 0.494125: 
Column 7718 | average = 0.497296: 
Column 7719 | average = 0.498318: 
Column 7720 | average = 0.498043: 
Column 7721 | average = 0.496309: 
Column 7722 | average = 0.492698: 
Column 7723 | average = 0.498002: 
Column 7724 | average = 0.495520: 
Column 7725 | average = 0.498119: 
Column 7726 | average = 0.491616: 
Column 7727 | average = 0.496839: 
Column 7728 | average = 0.496349: 
Column 7729 | average = 0.497740: 
Column 7730 | average = 0.487763: 
Column 7731 | average = 0.492104: 
Column 7732 | average = 0.493419: 
Column 7733 | average = 0.496691: 
Column 7734 | average = 0.496081: 
Column 7735 | average = 0.494103: 
Column 7736 | average = 0.492993: 
Column 7737 | average = 0.492989: 
Column 7738 | average = 0.495698: 
Column 7739 | average = 0.493345: 
Column 7740 | average = 0.492734: 
Column 7741 | average = 0.492042: 
Column 7742 | average = 0.494227: 
Column 7743 | average = 0.496851: 
Column 7744 | average = 0.493404: 
Column 7745 | average = 0.496027: 
Column 7746 | average = 0.494801: 
Column 7747 | average = 0.493236: 
Column 7748 | average = 0.490892: 157, 707, 720, 744, 784, 911, 924, 963, 966, 976, 1076, 1182, 1340, 1345, 1489, 1533, 1575, 1722, 2046, 2134, 2600, 2763, 2898, 3027, 3029, 3193, 3369, 3544, 3716, 3827, 3876, 3879, 4026, 4278, 4323, 4350, 4394, 4437, 4568, 4678, 4747, 4828, 5208, 5249, 5349, 5402, 5636, 5725, 5748, 5812, 5920, 5968, 6053, 6445, 6495, 6538, 6608, 6639, 6979, 7119, 7126, 7152, 7219, 7302, 7516, 7567, 7607, 7822, 7866, 7966, 8017, 8089, 8145, 8331, 8332, 8626, 8678, 8806, 8843, 8891, 8966, 9059, 9243, 9277, 9356, 9374, 9393, 9415, 9470, 9483, 9572, 9650, 9747, 9754, 9955, 
Column 7749 | average = 0.497683: 
Column 7750 | average = 0.498963: 
Column 7751 | average = 0.493033: 
Column 7752 | average = 0.495516: 
Column 7753 | average = 0.496478: 
Column 7754 | average = 0.496640: 
Column 7755 | average = 0.495855: 
Column 7756 | average = 0.494967: 
Column 7757 | average = 0.498122: 
Column 7758 | average = 0.492956: 
Column 7759 | average = 0.499564: 
Column 7760 | average = 0.497191: 
Column 7761 | average = 0.497289: 
Column 7762 | average = 0.493130: 
Column 7763 | average = 0.496921: 
Column 7764 | average = 0.498870: 
Column 7765 | average = 0.496631: 
Column 7766 | average = 0.493550: 
Column 7767 | average = 0.497931: 
Column 7768 | average = 0.492501: 
Column 7769 | average = 0.493186: 
Column 7770 | average = 0.497430: 
Column 7771 | average = 0.497671: 
Column 7772 | average = 0.493602: 
Column 7773 | average = 0.492265: 
Column 7774 | average = 0.492634: 
Column 7775 | average = 0.495961: 
Column 7776 | average = 0.496147: 
Column 7777 | average = 0.497283: 
Column 7778 | average = 0.492748: 
Column 7779 | average = 0.493631: 
Column 7780 | average = 0.495756: 
Column 7781 | average = 0.498260: 
Column 7782 | average = 0.495114: 
Column 7783 | average = 0.496482: 
Column 7784 | average = 0.495044: 
Column 7785 | average = 0.497726: 
Column 7786 | average = 0.496579: 
Column 7787 | average = 0.494695: 
Column 7788 | average = 0.496534: 
Column 7789 | average = 0.500695: 19, 26, 87, 198, 316, 355, 411, 462, 525, 713, 906, 955, 1099, 1167, 1325, 1375, 1449, 1462, 1506, 1571, 1858, 2170, 2476, 2607, 2650, 2953, 3548, 3586, 3717, 3896, 3907, 3995, 4106, 4235, 4283, 4333, 4386, 4441, 4545, 4790, 4911, 4945, 5043, 5074, 5114, 5116, 5201, 5255, 5262, 5284, 5454, 5640, 5649, 5901, 6038, 6064, 6088, 6186, 6198, 6280, 6282, 6418, 6575, 6576, 6818, 6840, 7062, 7143, 7241, 7370, 7493, 7556, 7574, 7701, 7716, 7719, 7749, 7829, 7908, 8025, 8133, 8167, 8190, 8232, 8330, 8454, 8456, 8508, 8815, 8840, 8983, 9319, 9832, 9834, 9862, 9947, 9977, 9991, 
Column 7790 | average = 0.495081: 
Column 7791 | average = 0.495314: 
Column 7792 | average = 0.495789: 
Column 7793 | average = 0.497276: 
Column 7794 | average = 0.488559: 
Column 7795 | average = 0.489690: 
Column 7796 | average = 0.488627: 
Column 7797 | average = 0.489260: 
Column 7798 | average = 0.493571: 
Column 7799 | average = 0.495726: 
Column 7800 | average = 0.499593: 
Column 7801 | average = 0.495256: 
Column 7802 | average = 0.495876: 
Column 7803 | average = 0.489325: 
Column 7804 | average = 0.493909: 
Column 7805 | average = 0.497159: 
Column 7806 | average = 0.493268: 
Column 7807 | average = 0.499101: 
Column 7808 | average = 0.496185: 
Column 7809 | average = 0.497335: 
Column 7810 | average = 0.490298: 297, 467, 488, 562, 628, 720, 870, 874, 936, 973, 976, 1053, 1173, 1277, 1287, 1494, 1509, 1522, 1652, 1823, 1829, 2016, 2047, 2080, 2309, 2332, 2411, 2836, 2959, 3077, 3203, 3207, 3257, 3308, 3328, 3799, 3804, 4032, 4299, 4380, 4435, 4445, 4539, 4571, 4614, 4653, 4857, 4944, 5099, 5118, 5143, 5151, 5263, 5314, 5353, 5377, 5463, 5612, 5647, 5712, 5812, 5817, 5872, 5947, 5994, 6244, 6279, 6484, 6540, 6576, 6654, 6732, 6929, 7059, 7128, 7202, 7230, 7267, 7324, 7362, 7464, 7548, 7723, 7731, 7752, 7775, 7782, 7942, 7983, 8333, 8511, 8568, 8720, 8852, 8912, 8955, 8974, 9054, 9287, 9323, 9391, 9660, 9763, 9773, 9788, 9842, 9893, 9970, 
Column 7811 | average = 0.491367: 
Column 7812 | average = 0.497318: 
Column 7813 | average = 0.497245: 
Column 7814 | average = 0.495689: 
Column 7815 | average = 0.493062: 
Column 7816 | average = 0.500071: 51, 150, 180, 468, 701, 735, 775, 1113, 1135, 1177, 1333, 1357, 1550, 1581, 1748, 1794, 1849, 2036, 2089, 2309, 2411, 2468, 2584, 2625, 2721, 2748, 2924, 2928, 3194, 3206, 3230, 3519, 3632, 3640, 3728, 3835, 4040, 4423, 4466, 4592, 4615, 4795, 4845, 4852, 4941, 5053, 5142, 5160, 5299, 5364, 5415, 5456, 5592, 5670, 5739, 5931, 5958, 5962, 6013, 6059, 6068, 6170, 6435, 6527, 6671, 6849, 6911, 7089, 7142, 7173, 7191, 7317, 7369, 7472, 7503, 7599, 7636, 7732, 7829, 7830, 7908, 8195, 8197, 8247, 8323, 8334, 8374, 8573, 8577, 8789, 9209, 9609, 9642, 9783, 9786, 9955, 
Column 7817 | average = 0.493649: 
Column 7818 | average = 0.498777: 
Column 7819 | average = 0.494552: 
Column 7820 | average = 0.491419: 
Column 7821 | average = 0.491730: 
Column 7822 | average = 0.496465: 
Column 7823 | average = 0.495350: 
Column 7824 | average = 0.499776: 
Column 7825 | average = 0.497673: 
Column 7826 | average = 0.498003: 
Column 7827 | average = 0.497127: 
Column 7828 | average = 0.486810: 
Column 7829 | average = 0.492529: 
Column 7830 | average = 0.496664: 
Column 7831 | average = 0.495868: 
Column 7832 | average = 0.493154: 
Column 7833 | average = 0.496161: 
Column 7834 | average = 0.496991: 
Column 7835 | average = 0.492553: 
Column 7836 | average = 0.492028: 
Column 7837 | average = 0.497409: 
Column 7838 | average = 0.493231: 
Column 7839 | average = 0.492219: 
Column 7840 | average = 0.491868: 
Column 7841 | average = 0.491397: 
Column 7842 | average = 0.493514: 
Column 7843 | average = 0.497643: 
Column 7844 | average = 0.498248: 
Column 7845 | average = 0.493587: 
Column 7846 | average = 0.491113: 
Column 7847 | average = 0.494292: 
Column 7848 | average = 0.495576: 
Column 7849 | average = 0.498349: 
Column 7850 | average = 0.496341: 
Column 7851 | average = 0.496207: 
Column 7852 | average = 0.493293: 
Column 7853 | average = 0.489248: 
Column 7854 | average = 0.492703: 
Column 7855 | average = 0.493080: 
Column 7856 | average = 0.494623: 
Column 7857 | average = 0.490700: 14, 330, 363, 474, 515, 547, 698, 923, 1042, 1156, 1278, 1292, 1594, 1645, 2333, 2350, 2405, 2420, 2428, 2467, 2596, 2931, 2977, 3102, 3179, 3390, 3414, 3696, 3775, 4029, 4057, 4086, 4153, 4377, 4381, 4597, 4625, 4721, 4803, 4945, 4976, 5035, 5038, 5125, 5129, 5172, 5271, 5291, 5308, 5347, 5386, 5433, 5491, 5527, 5581, 5590, 5878, 6036, 6194, 6288, 6342, 6471, 6543, 6572, 6623, 6624, 6652, 6777, 6865, 6923, 6928, 7033, 7216, 7295, 7397, 7483, 7752, 8058, 8306, 8310, 8671, 8730, 8738, 9114, 9188, 9349, 9441, 9518, 9586, 9704, 9744, 9963, 
Column 7858 | average = 0.494593: 
Column 7859 | average = 0.499134: 
Column 7860 | average = 0.490298: 107, 231, 448, 515, 558, 584, 700, 1105, 1140, 1222, 1322, 1345, 1422, 1803, 1848, 1928, 2035, 2052, 2169, 2189, 2273, 2417, 2502, 2506, 2545, 2840, 2927, 3030, 3333, 3542, 3691, 3721, 3753, 3767, 3827, 3990, 4020, 4142, 4218, 4308, 4313, 4374, 4419, 4457, 4674, 4803, 4943, 4986, 5015, 5117, 5145, 5256, 5311, 5449, 5487, 5792, 5956, 6026, 6158, 6259, 6425, 6479, 6483, 6661, 6689, 6743, 6759, 6891, 7042, 7067, 7251, 7312, 7333, 7355, 7359, 7622, 7637, 7724, 7944, 8000, 8022, 8209, 8481, 8559, 8628, 8660, 8698, 8700, 8781, 8858, 8885, 8957, 8967, 8984, 9008, 9048, 9107, 9135, 9357, 9838, 
Column 7861 | average = 0.491299: 
Column 7862 | average = 0.500159: 88, 829, 1084, 1181, 1264, 1412, 1511, 1601, 1651, 1758, 1760, 1897, 2158, 2189, 2194, 2277, 2406, 2426, 2588, 2765, 2845, 2896, 2946, 3003, 3052, 3093, 3138, 3152, 3178, 3336, 3408, 3423, 3551, 3658, 3719, 3755, 3859, 3889, 3921, 4082, 4268, 4819, 4881, 5131, 5135, 5167, 5216, 5234, 5333, 5342, 5521, 5559, 5805, 6109, 6163, 6306, 6401, 6403, 6456, 6464, 6470, 6557, 6752, 6779, 6806, 6922, 6982, 7189, 7284, 7526, 7604, 7769, 7803, 7901, 8181, 8230, 8268, 8294, 8349, 8707, 8745, 8810, 8869, 9160, 9314, 9384, 9432, 9588, 9632, 9862, 9953, 9968, 
Column 7863 | average = 0.496946: 
Column 7864 | average = 0.493916: 
Column 7865 | average = 0.495001: 
Column 7866 | average = 0.492649: 
Column 7867 | average = 0.492986: 
Column 7868 | average = 0.495674: 
Column 7869 | average = 0.495283: 
Column 7870 | average = 0.492562: 
Column 7871 | average = 0.492997: 
Column 7872 | average = 0.494680: 
Column 7873 | average = 0.496605: 
Column 7874 | average = 0.490037: 27, 69, 71, 111, 249, 338, 586, 625, 737, 771, 779, 817, 882, 972, 1104, 1159, 1327, 1457, 1596, 1604, 1714, 1745, 2020, 2313, 2334, 2367, 2368, 2541, 2550, 2824, 2926, 3080, 3223, 3286, 3291, 3403, 3464, 3532, 3545, 3611, 3628, 3778, 3852, 3927, 3995, 4004, 4160, 4164, 4230, 4361, 4414, 4443, 4490, 4511, 4843, 5034, 5311, 5574, 5603, 5688, 5952, 6006, 6019, 6298, 6367, 6912, 6934, 7036, 7169, 7272, 7540, 7556, 7557, 7711, 8206, 8244, 8267, 8390, 8437, 8546, 8563, 8580, 8617, 8788, 9195, 9273, 9388, 9553, 9564, 9665, 9980, 
Column 7875 | average = 0.493780: 
Column 7876 | average = 0.491761: 
Column 7877 | average = 0.492598: 
Column 7878 | average = 0.493806: 
Column 7879 | average = 0.489977: 
Column 7880 | average = 0.496932: 
Column 7881 | average = 0.490061: 23, 61, 230, 281, 366, 373, 414, 655, 810, 835, 869, 874, 985, 1026, 1154, 1373, 1402, 1560, 1764, 1816, 1892, 2024, 2040, 2134, 2150, 2266, 2306, 2345, 2392, 2492, 2534, 2615, 2638, 2726, 2778, 2787, 2972, 3446, 3659, 3667, 3858, 3888, 3898, 4030, 4071, 4090, 4107, 4147, 4222, 4598, 4702, 4726, 4853, 4861, 4923, 5011, 5191, 5208, 5236, 5485, 5602, 5686, 5815, 5873, 5890, 5944, 5984, 6015, 6169, 6187, 6237, 6304, 6350, 6946, 7245, 7388, 7533, 7574, 7675, 7775, 7918, 7929, 8168, 8183, 8201, 8379, 8478, 8534, 8548, 8557, 8560, 8711, 8728, 8981, 8983, 9004, 9100, 9179, 9215, 9402, 9465, 9527, 9693, 9766, 9792, 9812, 9851, 9863, 9939, 
Column 7882 | average = 0.500681: 36, 371, 388, 605, 664, 888, 943, 998, 1031, 1072, 1082, 1105, 1176, 1366, 1380, 1481, 1535, 1652, 1754, 1858, 1873, 2050, 2139, 2410, 2436, 2442, 2551, 2632, 2842, 3077, 3191, 3295, 3352, 3412, 3452, 3462, 3469, 3637, 3668, 3977, 4052, 4127, 4135, 4262, 4437, 4445, 4461, 4519, 4834, 4856, 5102, 5167, 5250, 5304, 5430, 5461, 5494, 5602, 5787, 6111, 6125, 6186, 6272, 6304, 6310, 6391, 6403, 6487, 6801, 7000, 7254, 7281, 7447, 7470, 7477, 7485, 7511, 7597, 7665, 7891, 7909, 8077, 8127, 8141, 8244, 8332, 8333, 8450, 8648, 8765, 8769, 8858, 8859, 8940, 9322, 9832, 9985, 
Column 7883 | average = 0.497296: 
Column 7884 | average = 0.491651: 
Column 7885 | average = 0.491445: 
Column 7886 | average = 0.498388: 
Column 7887 | average = 0.498350: 
Column 7888 | average = 0.498369: 
Column 7889 | average = 0.493421: 
Column 7890 | average = 0.495619: 
Column 7891 | average = 0.498807: 
Column 7892 | average = 0.493729: 
Column 7893 | average = 0.494713: 
Column 7894 | average = 0.490508: 136, 272, 306, 532, 542, 689, 739, 799, 981, 1011, 1117, 1231, 1316, 1408, 1554, 1621, 1647, 1765, 1796, 1805, 1884, 1918, 2078, 2106, 2139, 2286, 2514, 2595, 2679, 2843, 2915, 2932, 3045, 3058, 3069, 3155, 3332, 3392, 3511, 3594, 3614, 3803, 3953, 4213, 4216, 4222, 4275, 4285, 4336, 4405, 4659, 4751, 4784, 4929, 4948, 5051, 5179, 5230, 5325, 5370, 5459, 5533, 5576, 5761, 5779, 5780, 5804, 5830, 6147, 6229, 6312, 6359, 6383, 6499, 6640, 6659, 6900, 7019, 7066, 7345, 7420, 7496, 7553, 7614, 7628, 7881, 7883, 7958, 8036, 8093, 8112, 8199, 8257, 8573, 8678, 9065, 9270, 9271, 9324, 9424, 9433, 9506, 9745, 9784, 9786, 9897, 9977, 
Column 7895 | average = 0.496285: 
Column 7896 | average = 0.498791: 
Column 7897 | average = 0.500020: 220, 379, 412, 471, 700, 1075, 1337, 1599, 1627, 1667, 2053, 2140, 2208, 2301, 2311, 2385, 2435, 2556, 2638, 2685, 2797, 2828, 2852, 2929, 2930, 2931, 3058, 3063, 3096, 3193, 3355, 3474, 3548, 3650, 3965, 4021, 4078, 4113, 4186, 4199, 4307, 4368, 4457, 4461, 4483, 4493, 4499, 4654, 4892, 4994, 5490, 5585, 5865, 5894, 5955, 6058, 6180, 6325, 6421, 6768, 6984, 7001, 7205, 7518, 7526, 7568, 7814, 7846, 8000, 8108, 8241, 8279, 8431, 8516, 8617, 8643, 8769, 8853, 8867, 8961, 8995, 9053, 9117, 9250, 9280, 9475, 9589, 9662, 9676, 9721, 9940, 
Column 7898 | average = 0.491806: 
Column 7899 | average = 0.495949: 
Column 7900 | average = 0.499807: 
Column 7901 | average = 0.491707: 
Column 7902 | average = 0.494061: 
Column 7903 | average = 0.492568: 
Column 7904 | average = 0.495343: 
Column 7905 | average = 0.493304: 
Column 7906 | average = 0.489849: 
Column 7907 | average = 0.498568: 
Column 7908 | average = 0.492800: 
Column 7909 | average = 0.495246: 
Column 7910 | average = 0.497342: 
Column 7911 | average = 0.495571: 
Column 7912 | average = 0.496288: 
Column 7913 | average = 0.493622: 
Column 7914 | average = 0.498487: 
Column 7915 | average = 0.493090: 
Column 7916 | average = 0.497835: 
Column 7917 | average = 0.494954: 
Column 7918 | average = 0.493071: 
Column 7919 | average = 0.491286: 
Column 7920 | average = 0.498304: 
Column 7921 | average = 0.493763: 
Column 7922 | average = 0.493805: 
Column 7923 | average = 0.494480: 
Column 7924 | average = 0.501669: 
Column 7925 | average = 0.491502: 
Column 7926 | average = 0.491826: 
Column 7927 | average = 0.490481: 15, 35, 159, 375, 405, 442, 576, 735, 797, 983, 1173, 1206, 1212, 1296, 1316, 1359, 1446, 1448, 1571, 1697, 1809, 1822, 1916, 1966, 1985, 2081, 2151, 2235, 2249, 2476, 2494, 2516, 2550, 2672, 3168, 3253, 3275, 3318, 3804, 3873, 3884, 4017, 4200, 4281, 4314, 4400, 4569, 4669, 4736, 4762, 4771, 4774, 4875, 4938, 5028, 5134, 5223, 5361, 5368, 5378, 5457, 5585, 5610, 5611, 5779, 5797, 6020, 6187, 6266, 6279, 6295, 6371, 6594, 6804, 6918, 6955, 6987, 7069, 7098, 7233, 7351, 7458, 7460, 7764, 7782, 7806, 7820, 7878, 7926, 7962, 8196, 8270, 8297, 8675, 8717, 8879, 9180, 9337, 9572, 9603, 9856, 9917, 
Column 7928 | average = 0.497169: 
Column 7929 | average = 0.499081: 
Column 7930 | average = 0.491382: 
Column 7931 | average = 0.495140: 
Column 7932 | average = 0.494134: 
